preset,stage,stage_idx,r_mm,ey_mm,ez_mm,plane_hit,dartboard_face_hit,score,vx,vy,vz,vnorm_mps,pitch_deg,release_time_s,blend_ik_with_overhand_used,opt_fun,opt_nfev,opt_success
BULL,S1_minjerk_no_refine,1,1354.2908062831323,-29.379787362066246,-1353.9720883672514,True,False,0,6.394007654073182,-0.0821648220902804,-3.405819098651131,7.244976788856702,-28.040389311828292,0.1,0.42,,,
BULL,S2_plus_vx_refine,2,1354.2908062831323,-29.379787362066246,-1353.9720883672514,True,False,0,6.394007654073182,-0.0821648220902804,-3.405819098651131,7.244976788856702,-28.040389311828292,0.1,0.42,,,
BULL,S3_plus_retarget,3,1129.9820443455526,-22.39497116452319,-1129.7601009992761,True,False,0,5.873093246919504,-0.05703846742792123,-2.176410778074243,6.263644430257496,-20.332473694945747,0.1,0.42,,,
BULL,S4_knot_opt,4,1126.5259445440663,-22.399749849482266,-1126.303225129708,True,False,0,5.879060102004157,-0.0571092670561837,-2.173594369086993,6.268263047502674,-20.289381614382783,0.1,0.42,202.55627487263288,716,True
SBULL,S1_minjerk_no_refine,1,1291.5388677422998,-29.238232744246965,-1302.3328735180694,True,False,0,6.485156302602063,-0.08286791603272729,-3.3059644202149645,7.279664834895501,-27.009414589659176,0.1,0.42,,,
SBULL,S2_plus_vx_refine,2,1291.5388677422998,-29.238232744246965,-1302.3328735180694,True,False,0,6.485156302602063,-0.08286791603272729,-3.3059644202149645,7.279664834895501,-27.009414589659176,0.1,0.42,,,
SBULL,S3_plus_retarget,3,1121.3167731938704,-22.50340442026138,-1132.2159430708161,True,False,0,5.860563247651574,-0.05718303545686107,-2.1418813634954765,6.239962119641246,-20.075146254135397,0.1,0.42,,,
SBULL,S4_knot_opt,4,1119.8327268656137,-22.50246478167115,-1130.7316162889651,True,False,0,5.863046714290901,-0.05720518966537404,-2.140526067396386,6.241829944245952,-20.055636133370285,0.1,0.42,199.75914633448954,508,True
