preset,dy_m,dz_m,r_mm,release_time_s,face_hit,score,fun,cached
BULL,0.0,0.0,13.733522643082784,0.075,True,25,0.00018860964418806754,False
SBULL,0.0,0.011125,17.603305962837357,0.075,True,9,0.00018629011407007734,False
